brand,pair_count,distinct_customers,distinct_conversations,dm_deflection_rate,substantive_resolution_rate,actionable_resolution_rate,non_english_reply_rate,exact_duplicate_rate,empty_after_normalisation,with_context_rate,mean_thread_length,median_thread_length,first_seen,last_seen,span_days,distinct_months,escalation_sensitive_rate,escalation_sensitive_count,clusters_sampled,distinct_intents_at_3pct,largest_intent_share,intent_entropy,intent_entropy_normalised,rare_intent_clusters,rare_intent_pairs_estimated,near_duplicate_rate,retrieval_nn_similarity_median,retrieval_nn_similarity_p25,usable_grounding_evidence_rate,usable_grounding_evidence_pairs,f_volume,f_intents,f_grounding,f_escalation_volume,f_escalation_band,f_temporal,passes_all,failed_criteria
sainsburys,17462,10248,10828,0.1285,0.2611,0.0123,0.0153,0.0137,236,0.4292,3.93,2,2013-10-25T16:35:40+00:00,2017-12-03T22:44:26+00:00,1500,19,0.0313,546,2877,10,0.5367,1.7721,0.7131,8,4691,0.002,0.3294,0.2808,0.0121,211,True,True,False,True,True,True,False,grounding
UPSHelp,17220,14338,15270,0.5253,0.2591,0.0441,0.0009,0.0102,108,0.1904,2.58,2,2012-12-14T01:40:29+00:00,2017-12-03T22:54:06+00:00,1815,11,0.0364,627,2927,10,0.3375,2.142,0.862,4,1964,0.01,0.3626,0.3052,0.0437,752,True,True,False,True,True,True,False,grounding
VerizonSupport,17161,7637,8311,0.1087,0.2019,0.0539,0.0016,0.0533,193,0.5883,5.47,4,2017-05-09T23:15:56+00:00,2017-12-03T22:53:55+00:00,207,7,0.0589,1011,2762,12,0.4844,1.9115,0.7692,5,2969,0.006,0.3713,0.3094,0.051,875,True,True,False,True,True,True,False,grounding
O2,15643,8682,9535,0.2187,0.2579,0.0247,0.0103,0.0055,61,0.425,5.07,2,2016-05-13T14:58:36+00:00,2017-12-03T15:24:40+00:00,569,18,0.0733,1147,2933,9,0.4569,1.946,0.7831,8,4800,0.004,0.3388,0.2894,0.0246,384,True,True,False,True,True,True,False,grounding
ATVIAssist,15628,11448,11086,0.1575,0.287,0.0426,0.002,0.0264,239,0.365,14.11,2,2014-05-17T19:46:53+00:00,2017-12-03T23:07:10+00:00,1296,23,0.0095,149,2859,10,0.5306,1.7606,0.7085,9,4547,0.006,0.4176,0.3527,0.0415,648,True,True,False,False,False,True,False,"grounding, escalation_volume, escalation_band"
Safaricom_Care,13698,7030,9337,0.1762,0.146,0.0412,0.0271,0.0669,41,0.3832,4.71,2,2013-02-20T17:40:01+00:00,2017-12-03T21:44:37+00:00,1747,32,0.0268,367,2738,8,0.4894,1.858,0.7477,7,3051,0.026,0.41,0.3412,0.0384,526,True,True,False,True,True,True,False,grounding
AskTarget,13006,10626,11114,0.1887,0.3634,0.0357,0.0013,0.0029,37,0.1835,2.68,2,2016-07-11T20:48:51+00:00,2017-12-03T21:10:45+00:00,510,10,0.0355,462,2946,9,0.446,1.9671,0.7916,6,2547,0.0,0.3352,0.2797,0.0356,463,True,True,False,True,True,True,False,grounding
idea_cares,12897,6009,7518,0.2395,0.08,0.0163,0.0005,0.0112,299,0.4861,5.48,2,2015-12-11T03:32:01+00:00,2017-12-03T20:23:21+00:00,723,16,0.0922,1189,2804,10,0.4005,2.0253,0.815,6,2603,0.006,0.3565,0.3023,0.0161,207,True,True,False,True,True,True,False,grounding
AskLyft,11403,9385,10148,0.2043,0.5777,0.1491,0.0011,0.0081,76,0.192,2.98,2,2015-08-20T23:36:01+00:00,2017-12-03T22:52:20+00:00,835,12,0.1099,1253,2929,11,0.3124,2.156,0.8676,5,1845,0.014,0.3594,0.3108,0.1479,1686,True,True,True,True,True,True,True,-
ArgosHelpers,11390,6759,7539,0.1299,0.3611,0.0117,0.0147,0.029,147,0.402,3.63,2,2014-09-05T19:11:53+00:00,2017-12-03T22:22:01+00:00,1185,9,0.0587,669,2867,10,0.4283,1.9862,0.7993,6,2284,0.02,0.3604,0.3037,0.0114,129,True,True,False,True,True,True,False,grounding
AskPayPal,10900,9178,9456,0.5281,0.2723,0.0133,0.102,0.0261,152,0.2472,3.21,2,2015-04-24T22:31:02+00:00,2017-12-03T22:45:25+00:00,954,14,0.1018,1110,2862,10,0.4029,2.0248,0.8148,6,2144,0.028,0.3846,0.3235,0.013,141,True,True,False,True,True,True,False,grounding
AirAsiaSupport,10350,6222,6762,0.1863,0.2038,0.021,0.0265,0.0197,583,0.4081,13.11,2,2013-12-17T15:01:42+00:00,2017-12-03T22:51:01+00:00,1447,22,0.0958,992,2693,10,0.417,1.9841,0.7984,8,3055,0.004,0.4066,0.3421,0.0206,213,True,True,False,True,True,True,False,grounding
marksandspencer,10297,7500,7937,0.0703,0.2379,0.0203,0.0151,0.0033,89,0.291,3.66,2,2015-12-19T14:41:38+00:00,2017-12-03T21:17:55+00:00,715,11,0.0302,311,2916,9,0.549,1.7401,0.7003,9,3195,0.002,0.3414,0.2828,0.0202,207,True,True,False,True,True,True,False,grounding
SW_Help,10003,4564,6188,0.0071,0.2697,0.0128,0.0029,0.0048,53,0.4745,4.58,2,2012-11-02T16:09:02+00:00,2017-12-03T22:23:06+00:00,1857,10,0.0387,387,2941,11,0.373,2.0996,0.8449,7,2829,0.004,0.3616,0.3118,0.0127,127,True,True,False,True,True,True,False,grounding
BofA_Help,9070,6119,6541,0.0396,0.3607,0.094,0.0007,0.0193,98,0.3393,5.43,2,2013-03-06T19:53:37+00:00,2017-12-03T00:46:57+00:00,1732,14,0.0999,906,2883,11,0.3753,2.1241,0.8548,4,1330,0.002,0.3632,0.3072,0.0922,836,True,True,False,True,True,True,False,grounding
AskeBay,8668,4938,5633,0.1929,0.4264,0.084,0.0128,0.0156,55,0.416,3.7,2,2016-01-04T04:52:07+00:00,2017-12-03T22:11:49+00:00,699,11,0.117,1014,2897,11,0.3763,2.0991,0.8447,5,1466,0.01,0.3492,0.2958,0.0827,716,True,True,False,True,True,True,False,grounding
MicrosoftHelps,8576,4087,4434,0.0742,0.4207,0.0988,0.0009,0.0134,90,0.5833,4.91,4,2013-10-08T01:07:20+00:00,2017-12-03T20:44:11+00:00,1517,9,0.022,189,2893,10,0.4252,1.9755,0.795,6,1983,0.0,0.3624,0.308,0.0975,836,True,True,False,False,True,True,False,"grounding, escalation_volume"
Morrisons,8415,5427,5930,0.2567,0.1085,0.0059,0.0352,0.0121,43,0.3304,3.32,2,2015-05-10T14:14:55+00:00,2017-12-03T22:50:48+00:00,938,13,0.0326,274,2891,8,0.514,1.7874,0.7193,7,2119,0.01,0.3347,0.2764,0.0058,48,True,True,False,False,True,True,False,"grounding, escalation_volume"
AdobeCare,8339,4640,5093,0.0801,0.307,0.0435,0.0024,0.015,57,0.4499,4.23,2,2016-07-26T20:28:20+00:00,2017-12-03T22:14:21+00:00,495,9,0.0288,240,2889,10,0.4683,1.9286,0.7761,7,2187,0.004,0.3567,0.3009,0.0428,356,True,True,False,False,True,True,False,"grounding, escalation_volume"
AirbnbHelp,8320,5358,6030,0.3353,0.4123,0.026,0.009,0.0152,41,0.3151,3.44,2,2016-07-12T11:23:30+00:00,2017-12-03T22:56:11+00:00,509,9,0.1135,944,2917,11,0.4618,1.9156,0.7709,8,2424,0.004,0.3397,0.2844,0.0256,212,True,True,False,True,True,True,False,grounding
McDonalds,8286,8086,8117,0.0046,0.0706,0.0145,0.0082,0.0985,18,0.0375,3.49,2,2013-05-03T17:48:45+00:00,2017-12-03T18:20:52+00:00,1675,14,0.0023,19,2907,7,0.3571,1.9093,0.7684,8,1772,0.114,0.5495,0.4218,0.0131,108,True,True,False,False,False,True,False,"grounding, escalation_volume, escalation_band"
ChaseSupport,8159,6532,6772,0.4286,0.3029,0.048,0.0013,0.013,55,0.2432,2.74,2,2013-07-08T13:53:33+00:00,2017-12-03T21:18:45+00:00,1609,19,0.0988,806,2891,9,0.4389,1.9522,0.7856,6,1557,0.008,0.3665,0.3074,0.0474,386,True,True,False,True,True,True,False,grounding
AskAmex,7889,3957,4285,0.0221,0.2756,0.0539,0.003,0.0608,113,0.5069,4.39,3,2015-08-22T21:36:51+00:00,2017-12-03T22:52:27+00:00,834,16,0.073,576,2730,9,0.4418,1.9039,0.7662,7,1673,0.014,0.4005,0.3374,0.0506,399,True,True,False,True,True,True,False,grounding
AldiUK,7383,6146,6599,0.1671,0.3137,0.006,0.0153,0.0031,40,0.1602,3.91,2,2013-08-27T12:51:31+00:00,2017-12-03T15:02:44+00:00,1559,8,0.0217,160,2941,10,0.4794,1.903,0.7658,6,1471,0.002,0.3522,0.2848,0.006,44,True,True,False,False,True,True,False,"grounding, escalation_volume"
AlaskaAir,7303,4715,5599,0.1249,0.093,0.0255,0.0218,0.0069,24,0.2762,3.58,2,2014-09-09T21:02:33+00:00,2017-12-03T22:22:40+00:00,1181,7,0.0178,130,2915,9,0.4031,2.0173,0.8118,6,1483,0.0,0.3411,0.2909,0.0253,184,True,True,False,False,True,True,False,"grounding, escalation_volume"
Ask_WellsFargo,7297,5548,6014,0.1912,0.491,0.0156,0.0036,0.0485,23,0.236,2.79,2,2012-09-26T20:05:28+00:00,2017-12-03T20:31:26+00:00,1894,14,0.0844,616,2924,9,0.369,2.0273,0.8158,4,940,0.06,0.3779,0.3144,0.0148,107,True,True,False,True,True,True,False,grounding
CoxHelp,7171,4263,4839,0.2786,0.3624,0.0264,0.0045,0.0157,47,0.3748,3.5,2,2013-12-09T01:02:57+00:00,2017-12-03T21:38:10+00:00,1455,8,0.0628,450,2895,11,0.4325,2.0026,0.8059,6,1595,0.002,0.3665,0.3185,0.026,186,True,True,False,True,True,True,False,grounding
JetBlue,7151,4612,5166,0.0926,0.172,0.0234,0.0138,0.0072,38,0.3132,3.05,2,2010-07-05T02:00:34+00:00,2017-12-03T22:45:43+00:00,2708,16,0.0246,176,2900,10,0.379,2.0447,0.8228,7,1861,0.002,0.3479,0.2978,0.0232,165,True,True,False,False,True,True,False,"grounding, escalation_volume"
airtel_care,6331,2740,4012,0.2183,0.1191,0.0575,0.0017,0.0411,109,0.4377,5.29,2,2014-08-27T06:31:06+00:00,2017-12-03T17:15:48+00:00,1194,25,0.0517,327,2739,11,0.3589,2.1346,0.859,6,1516,0.036,0.4035,0.3196,0.0551,348,True,True,False,True,True,True,False,grounding
LondonMidland,5988,2975,3645,0.0154,0.2206,0.0144,0.0109,0.0091,25,0.4808,4.38,2,2016-04-13T17:09:43+00:00,2017-12-03T15:48:11+00:00,598,7,0.0301,180,2915,11,0.413,2.0409,0.8213,6,1384,0.004,0.3766,0.3158,0.0143,85,True,True,False,False,True,True,False,"grounding, escalation_volume"
AzureSupport,5952,2759,3292,0.1954,0.1394,0.0111,0.0008,0.0706,116,0.4903,4.42,2,2017-01-13T18:06:51+00:00,2017-12-03T21:31:47+00:00,324,9,0.0168,100,2669,11,0.4335,1.9974,0.8038,6,1280,0.018,0.3628,0.3092,0.0103,61,True,True,False,False,True,True,False,"grounding, escalation_volume"
GloCare,5913,2381,3213,0.0149,0.2586,0.0482,0.0103,0.0202,16,0.5087,5.62,3,2014-04-02T10:44:43+00:00,2017-12-03T19:34:33+00:00,1341,21,0.0401,237,2778,7,0.3772,2.012,0.8097,6,902,0.004,0.3791,0.3244,0.0472,279,True,True,False,False,True,True,False,"grounding, escalation_volume"
HPSupport,4424,3716,3840,0.1062,0.575,0.2941,0.0203,0.0653,41,0.2084,2.67,2,2015-06-23T17:31:20+00:00,2017-12-03T22:46:23+00:00,894,17,0.0194,86,2912,9,0.3808,2.0014,0.8054,6,771,0.048,0.4074,0.3335,0.2749,1216,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
DropboxSupport,4407,3096,3175,0.1436,0.4162,0.0765,0.0116,0.0094,35,0.3538,3.9,2,2017-05-24T21:18:27+00:00,2017-12-01T22:05:36+00:00,191,7,0.0402,177,2907,10,0.3805,2.1002,0.8452,2,195,0.002,0.3598,0.3058,0.0758,334,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
GreggsOfficial,4378,3259,3336,0.1556,0.0546,0.0041,0.0158,0.0037,21,0.2912,4.11,2,2015-12-09T21:14:51+00:00,2017-12-02T16:23:28+00:00,723,10,0.021,92,2915,10,0.4964,1.8619,0.7493,7,1049,0.002,0.3684,0.3086,0.0041,17,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
VirginAtlantic,4117,2393,2756,0.06,0.2108,0.024,0.0092,0.0037,11,0.3573,3.22,2,2013-01-09T16:12:08+00:00,2017-12-03T22:35:47+00:00,1789,7,0.0517,213,2943,12,0.4247,1.9756,0.7951,8,1261,0.0,0.3664,0.3083,0.0239,98,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
TacoBellTeam,4061,3083,3107,0.3834,0.0231,0.0089,0.0007,0.0184,30,0.2588,2.66,2,2017-03-16T22:11:33+00:00,2017-12-03T20:11:30+00:00,261,9,0.0347,141,2831,9,0.5122,1.8115,0.729,8,1108,0.028,0.4001,0.3361,0.0087,35,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
AskPapaJohns,3839,3145,3153,0.4264,0.2818,0.1055,0.0013,0.0097,21,0.2316,2.82,2,2016-05-05T16:05:38+00:00,2017-12-03T22:23:06+00:00,577,8,0.0505,194,2878,9,0.3447,2.0748,0.8349,6,756,0.018,0.3927,0.3289,0.1045,401,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
nationalrailenq,3756,2117,2218,0.004,0.2101,0.0162,0.0067,0.0218,37,0.5162,3.95,3,2016-04-24T18:08:46+00:00,2017-12-03T22:30:41+00:00,588,5,0.0312,117,2842,9,0.3733,2.0384,0.8203,5,496,0.01,0.3947,0.3321,0.0158,59,False,True,False,False,True,False,False,"volume, grounding, escalation_volume, temporal"
CenturyLinkHelp,3490,2657,2956,0.3957,0.496,0.0057,0.0029,0.0072,13,0.2287,2.94,2,2017-01-26T18:14:20+00:00,2017-12-03T21:11:57+00:00,311,7,0.067,234,2931,10,0.3872,2.031,0.8173,6,681,0.01,0.36,0.3053,0.0057,19,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
Postmates_Help,3306,2843,3006,0.2998,0.4214,0.0079,0.0018,0.0049,33,0.1413,2.62,2,2015-09-06T21:44:30+00:00,2017-12-03T21:24:50+00:00,818,8,0.2384,788,2944,11,0.3125,2.1622,0.8701,5,582,0.014,0.3833,0.331,0.0079,26,False,True,False,True,True,True,False,"volume, grounding"
NikeSupport,3288,1477,1560,0.0739,0.445,0.1804,0.0718,0.0187,78,0.5706,7.7,4,2012-07-15T19:21:37+00:00,2017-12-03T21:55:47+00:00,1967,12,0.0036,12,2823,11,0.3847,2.0906,0.8413,4,426,0.02,0.4141,0.348,0.177,581,False,True,False,False,False,True,False,"volume, grounding, escalation_volume, escalation_band"
AskCiti,2921,2195,2319,0.0757,0.6121,0.4348,0.0188,0.0052,10,0.2818,3.05,2,2012-08-16T12:56:54+00:00,2017-12-03T22:34:04+00:00,1935,13,0.1102,322,2854,10,0.4555,1.9212,0.7731,6,662,0.008,0.3622,0.3011,0.4325,1263,False,True,False,True,True,True,False,"volume, grounding"
DellCares,2775,1757,1974,0.3189,0.302,0.036,0.0011,0.0077,39,0.4418,4.02,2,2015-02-06T02:54:42+00:00,2017-12-03T20:55:21+00:00,1031,10,0.0544,151,2665,10,0.3707,2.0792,0.8367,6,588,0.006,0.3243,0.2818,0.0357,99,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
VirginAmerica,2757,1906,2098,0.1291,0.1063,0.0334,0.0145,0.0047,11,0.2797,3.0,2,2016-01-01T16:00:57+00:00,2017-12-03T20:26:57+00:00,702,6,0.0258,71,2674,11,0.3994,2.0063,0.8074,7,687,0.0,0.3397,0.2923,0.0332,91,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
Walmart,2560,2340,2401,0.0023,0.0461,0.0039,0.0719,0.0196,8,0.1465,2.36,2,2016-11-12T00:31:41+00:00,2017-12-03T17:36:53+00:00,386,8,0.007,18,2495,7,0.5615,1.6873,0.679,8,633,0.022,0.3805,0.3089,0.0038,9,False,True,False,False,False,True,False,"volume, grounding, escalation_volume, escalation_band"
ATT,2466,2073,2025,0.3828,0.3183,0.03,0.0138,0.0029,15,0.3508,3.76,2,2017-02-27T15:12:46+00:00,2017-12-03T21:14:37+00:00,279,7,0.0949,234,2392,10,0.4302,2.0043,0.8066,6,510,0.008,0.3444,0.2908,0.0299,73,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
askpanera,2149,1940,1978,0.2201,0.544,0.0028,0.0,0.0028,20,0.1284,2.26,2,2017-09-12T20:35:29+00:00,2017-12-03T20:36:21+00:00,82,4,0.0507,109,2105,11,0.3686,2.1025,0.8461,7,577,0.0,0.373,0.3128,0.0028,6,False,True,False,False,True,False,False,"volume, grounding, escalation_volume, temporal"
IHGService,2127,1601,1745,0.3907,0.1631,0.0108,0.0179,0.0028,3,0.2308,2.72,2,2016-07-11T11:52:34+00:00,2017-12-03T21:22:21+00:00,510,8,0.0945,201,2092,11,0.392,2.0674,0.832,6,462,0.01,0.3093,0.2712,0.0108,22,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
KFC_UKI_Help,2094,1998,2017,0.4241,0.3577,0.0005,0.0019,0.0019,15,0.0888,2.25,2,2017-06-20T19:34:49+00:00,2017-12-03T18:41:31+00:00,165,6,0.0654,137,2058,10,0.3256,2.1719,0.874,4,276,0.01,0.3629,0.3074,0.0005,1,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
TfL,1866,1522,1568,0.0348,0.3253,0.0547,0.008,0.0011,7,0.2492,2.71,2,2017-06-20T07:22:33+00:00,2017-12-03T22:50:47+00:00,166,6,0.1501,280,1823,12,0.407,2.0712,0.8335,6,461,0.0,0.3523,0.3006,0.0546,101,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
GoDaddyHelp,1854,1376,1450,0.205,0.4164,0.0475,0.0286,0.0054,13,0.2875,2.86,2,2014-12-28T22:33:47+00:00,2017-12-03T18:28:58+00:00,1070,8,0.0707,131,1806,9,0.4347,1.9821,0.7977,6,396,0.004,0.3401,0.2883,0.0472,87,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
ArbysCares,1836,1548,1555,0.2397,0.0877,0.006,0.0065,0.0066,10,0.2135,2.57,2,2016-11-09T23:57:16+00:00,2017-12-01T20:02:15+00:00,386,7,0.0272,50,1769,9,0.4313,1.967,0.7916,6,345,0.0,0.3636,0.3,0.006,11,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
NortonSupport,1737,817,897,0.1226,0.285,0.0622,0.015,0.0499,254,0.544,5.63,4,2017-09-03T19:03:08+00:00,2017-12-03T20:26:11+00:00,91,4,0.0438,76,1252,11,0.4736,1.9197,0.7726,6,371,0.012,0.3383,0.2891,0.0591,102,False,True,False,False,True,False,False,"volume, grounding, escalation_volume, temporal"
AsurionCares,1697,906,1036,0.2911,0.284,0.0035,0.0118,0.0106,5,0.4708,4.42,2,2015-04-03T19:57:41+00:00,2017-12-02T21:03:31+00:00,974,7,0.0754,128,1632,10,0.3493,2.1058,0.8475,5,264,0.002,0.3559,0.3018,0.0035,5,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
DoorDash_Help,1553,1426,1506,0.8429,0.1185,0.0032,0.0006,0.0039,18,0.123,2.3,2,2017-09-26T08:58:57+00:00,2017-12-03T20:55:12+00:00,68,4,0.114,177,1508,11,0.319,2.173,0.8745,5,270,0.01,0.3624,0.306,0.0032,4,False,True,False,False,True,False,False,"volume, grounding, escalation_volume, temporal"
sizehelpteam,1453,1181,1251,0.2815,0.488,0.0255,0.0048,0.0139,10,0.1679,2.69,2,2017-07-27T15:49:54+00:00,2017-12-03T14:25:39+00:00,128,5,0.0461,67,1415,12,0.3534,2.1855,0.8795,4,261,0.038,0.4498,0.3617,0.0251,36,False,True,False,False,True,False,False,"volume, grounding, escalation_volume, temporal"
DunkinDonuts,1273,1251,1257,0.6394,0.1092,0.0031,0.0047,0.0,2,0.0573,2.1,2,2016-12-03T04:02:34+00:00,2017-12-03T19:20:04+00:00,365,6,0.0597,76,1264,11,0.318,2.1756,0.8755,5,221,0.0,0.3471,0.2984,0.0031,3,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
Kimpton,1270,732,1053,0.022,0.1071,0.0157,0.0228,0.0,4,0.2394,2.61,2,2014-12-16T14:47:36+00:00,2017-12-03T21:58:02+00:00,1083,7,0.0134,17,1255,11,0.3339,2.1713,0.8738,4,185,0.002,0.3459,0.2833,0.0157,19,False,True,False,False,True,True,False,"volume, grounding, escalation_volume"
TwitterSupport,1257,1164,1215,0.9984,0.0016,0.0,0.0,0.2641,0,0.3365,3.72,2,2015-04-27T05:46:56+00:00,2017-12-03T19:58:46+00:00,951,5,0.0382,48,1021,10,0.3624,2.0983,0.8444,5,208,0.224,0.5843,0.4213,0.0,0,False,True,False,False,True,False,False,"volume, grounding, escalation_volume, temporal"
